time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.6666,37.93471,128.181852,6946.719355200001,-46.415,-6.012,1.202,1.0,37.957681,128.181878,6966.0278256,0.103,-3.466,180.012,1.0,1839.2966283804617,1739.9569256371742,2557.19393901052,6.54622668355331,-3.0336280073990287,-176.96637199260098,False,False,1759630.0889505392,1582038.4483123037,False
0.6833,37.934984,128.18185,6943.6893384,-47.783,-6.124,1.237,1.0,37.957422,128.181878,6964.2624240000005,0.107,-3.555,180.012,1.0,1835.4595569855132,1729.6854101854594,2497.872668465783,6.700363712968183,-3.083411932986861,-176.91658806701315,False,False,1752550.2237151486,1564201.89320454,False
0.7,37.935257,128.181849,6940.570015200001,-49.163,-6.235,1.272,1.0,37.957164,128.181878,6962.453740800001,0.112,-3.644,180.013,1.0,1829.3422164533226,1723.1930317487258,2438.7756003698546,6.856735606731907,-3.130213935586886,-176.86978606441312,False,False,1741310.2133887387,1552975.459310899,False
0.7166,37.935531,128.181848,6937.3604712,-50.554,-6.345,1.305,1.0,37.956905,128.181878,6960.6023856,0.116,-3.734,180.013,1.0,1847.5942433341445,1740.4293333244293,2379.4577677133825,7.014983467344533,-3.174741073966859,-176.82525892603314,False,False,1774834.5100656284,1582807.3235328028,False
0.7333,37.935805,128.181847,6934.061316,-51.957,-6.455,1.338,1.0,37.956647,128.181878,6958.7077488,0.12,-3.824,180.014,1.0,1837.1000874570843,1723.5241756164276,2320.253328682688,7.176587338044873,-3.215815160273248,-176.78418483972678,False,False,1755468.2780719649,1553509.4033119127,False
0.75,37.936079,128.181845,6930.6713304,-53.371,-6.563,1.369,1.0,37.956389,128.181878,6956.7695256,0.125,-3.914,180.014,1.0,1837.715485382001,1723.6979443518558,2261.0513393467077,7.33914545204232,-3.25319050564944,-176.74680949435057,False,False,1756565.7706086687,1553789.905549632,False
0.7666,37.936354,128.181844,6927.191124000001,-54.795,-6.67,1.4,1.0,37.956132,128.181878,6954.7883256,0.129,-4.005,180.014,1.0,1856.0344986320677,1727.5678795433016,2201.851866619284,7.505064601716753,-3.287472881942718,-176.7125271180573,False,False,1790364.56889237,1560448.564148115,False
0.7833,37.936628,128.181843,6923.620087200001,-56.231,-6.776,1.43,1.0,37.955874,128.181878,6952.7635392,0.134,-4.096,180.015,1.0,1838.922042187052,1724.0547152179186,2142.6553316155337,7.674116764323443,-3.317343204962127,-176.68265679503787,False,False,1758714.657548839,1554365.649094265,False
0.8,37.936903,128.181842,6919.957915200001,-57.676,-6.882,1.458,1.0,37.955617,128.181877,6950.6951664,0.138,-4.187,180.015,1.0,1846.1830531318428,1717.5997173292349,2083.4619630345574,7.847909949760547,-3.342408088915425,-176.65759191108458,False,False,1772057.5381247024,1543237.4292383103,False
0.8166,37.937178,128.181841,6916.204608,-59.132,-6.986,1.486,1.0,37.955359,128.181877,6948.5829023999995,0.143,-4.278,180.016,1.0,1857.9647516886973,1734.8191469585577,2024.1611076249078,8.024446880686941,-3.362264334633689,-176.6377356653663,False,False,1793841.3071778645,1572941.0568468298,False
