time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.5,37.931768,128.181988,6989.7699168,137.204,7.664,359.778,1.0,37.96028,128.181879,6981.342806400001,0.065,-2.591,180.008,1.0,1720.3249235840108,1741.532163184618,3173.966940934545,7.816278635776135,-2.749071513356142,-177.25092848664386,False,False,1548305.148506753,1584930.72313563,False
0.5166,37.932025,128.181992,6989.261205600001,134.926,7.78,359.115,1.0,37.960019,128.181879,6980.0010768,0.069,-2.677,180.008,1.0,1723.8425850801386,1752.1295835737847,3116.307381371833,7.981050995781931,-2.8536123460312486,-177.14638765396876,False,False,1554357.8674697848,1603429.4663770227,False
0.5333,37.932282,128.181995,6988.814064,132.728,7.873,358.456,1.0,37.959758,128.181879,6978.6175896,0.072,-2.764,180.009,1.0,1713.4021324087475,1741.7549286197695,3058.6482864568716,8.176063717147152,-2.9617475736865653,-177.03825242631345,False,False,1536410.287112147,1585291.97587068,False
0.55,37.932538,128.181997,6988.4278824,130.583,7.946,357.801,1.0,37.959498,128.181879,6977.19204,0.076,-2.85,180.009,1.0,1706.643540773023,1735.2187454232385,3001.2123915180996,8.400803189568643,-3.071468206999302,-176.9285317930007,False,False,1524849.1539240787,1573914.9275531648,False
0.5666,37.932794,128.181998,6988.1020512000005,128.472,8.0,357.147,1.0,37.959238,128.181879,6975.724123200001,0.08,-2.937,180.009,1.0,1716.8546708138642,1745.7992863222962,2943.777184770065,8.65383127118852,-3.185000202642352,-176.81499979735764,False,False,1542324.8513280917,1592316.0590344986,False
0.5833,37.93305,128.181997,6987.834741600001,126.384,8.036,356.493,1.0,37.958978,128.181879,6974.2144488,0.083,-3.024,180.01,1.0,1706.53763770612,1735.4738487975335,2886.3424931311492,8.934495235935545,-3.301420076306858,-176.69857992369316,False,False,1524662.604022504,1574328.4200543866,False
0.6,37.933305,128.181995,6987.623515200001,124.313,8.054,355.837,1.0,37.958718,128.181879,6972.6621024,0.087,-3.112,180.01,1.0,1699.8682121936686,1735.6088238084326,2829.020120424974,9.240971339608869,-3.421850166311954,-176.57814983368806,False,False,1513301.1475585855,1574547.4514473462,False
0.6166,37.93356,128.181991,6987.465019200001,122.258,8.054,355.178,1.0,37.958458,128.181879,6971.0673888,0.091,-3.2,180.011,1.0,1710.1858481249014,1746.2028500822844,2771.6986363852734,9.572832740259893,-3.5454461211405692,-176.45455387885946,False,False,1530891.441393882,1592975.014826122,False
0.6333,37.933814,128.181986,6987.3559008,120.225,8.036,354.516,1.0,37.958199,128.181879,6969.430308,0.095,-3.288,180.011,1.0,1693.3394584887874,1729.2328048073052,2714.601229635357,9.927957974962919,-3.6723140633112115,-176.3276859366888,False,False,1502221.8145821302,1563469.810340818,False
0.65,37.934068,128.181978,6987.2925024,118.218,7.999,353.851,1.0,37.95794,128.181879,6967.7502504,0.099,-3.377,180.011,1.0,1693.6493846459275,1729.3806008154816,2657.5049577941377,10.30642558077399,-3.803509040339506,-176.19649095966048,False,False,1502746.0510744255,1563708.919231543,False
0.6666,37.934322,128.181969,6987.270252000001,116.246,7.944,353.181,1.0,37.957681,128.181878,6966.0278256,0.103,-3.466,180.012,1.0,1703.9878879980433,1739.9569256371742,2600.4110283901796,10.706225821749443,-3.938535240855638,-176.06146475914437,False,False,1520309.0750387919,1582038.4483123037,False
0.6833,37.934575,128.181958,6987.2848824,114.315,7.87,352.508,1.0,37.957422,128.181878,6964.2624240000005,0.107,-3.555,180.012,1.0,1687.4484760829268,1729.6854101854594,2543.43030677074,11.128102696003353,-4.077185738594344,-175.92281426140568,False,False,1492263.037009284,1564201.89320454,False
